Prix,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Puissance fiscale,Nombre de portes,Origine,Première main,État,equip_Jantes aluminium,equip_Caméra de recul,equip_ESP,equip_Régulateur de vitesse,equip_CD/MP3/Bluetooth,equip_Vitres électriques,equip_Aucun,equip_Radar de recul,equip_Ordinateur de bord,equip_Système de navigation/GPS,equip_ABS,equip_Limiteur de vitesse,equip_Airbags,equip_Verrouillage centralisé à distance,equip_Climatisation,equip_Sièges cuir,equip_Toit ouvrant,Carburant_encoded,Origine_Dédouanée,Origine_Importée neuve,Origine_Inconnue,Origine_Pas encore dédouanée,Origine_WW au Maroc,État_encoded
127000,2019,0,Diesel,125000,Hyundai,Accent,6.0,5,WW au Maroc,0,Moyen,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,1
35000,2000,0,Essence,135000,Renault,Express,7.0,3,WW au Maroc,0,Moyen,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.18709133094283906,0.0,0.0,0.0,0.0,1.0,1
129000,2008,0,Diesel,185000,Mercedes-Benz,220,8.0,5,Dédouanée,0,Moyen,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0.7994797159530338,1.0,0.0,0.0,0.0,0.0,1
339000,2022,1,Diesel,62500,Alfa Romeo,Autres,8.0,5,WW au Maroc,1,Très bon,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
210000,2022,0,Diesel,77500,Seat,Autres,6.0,5,WW au Maroc,1,Très bon,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
123000,2017,0,Diesel,67500,Ford,Fiesta,6.0,5,WW au Maroc,0,Très bon,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
38000,2007,0,Essence,17500,Suzuki,Autres,5.0,5,Inconnue,0,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.18709133094283906,0.0,0.0,1.0,0.0,0.0,2
89000,2020,0,Essence,105000,Fiat,Autres,7.0,5,WW au Maroc,1,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18709133094283906,0.0,0.0,0.0,0.0,1.0,2
115000,2018,0,Essence,135000,Ford,Fiesta,6.0,5,WW au Maroc,0,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18709133094283906,0.0,0.0,0.0,0.0,1.0,2
319000,2020,1,Diesel,97500,Volkswagen,Tiguan,8.0,5,Inconnue,0,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7994797159530338,0.0,0.0,1.0,0.0,0.0,2
